time,rr,hr,hrv,gsr
241,1695,44,1.41,1117
242,887,44,1.41,1116
243,762,44,1.398,1116
244,2512,44,1.398,1116
245,781,44,1.398,1115
246,1672,44,1.398,1115
247,889,44,1.398,1115
248,2553,45,1.398,1115
249,883,44,1.398,1113
250,1550,42,1.398,1114
251,1719,43,1.383,1113
252,764,43,1.383,1113
253,712,42,1.368,1112
254,1649,45,1.415,1113
255,916,45,1.415,1113
256,823,43,1.4,1113
257,1706,46,1.4,1112
258,947,46,1.388,1113
259,822,44,1.388,1112
260,2560,46,1.388,1110
261,910,43,1.388,1110
262,2569,43,1.388,1111
263,898,45,1.388,1111
264,820,45,1.357,1110
265,865,47,1.357,1110
266,900,47,1.331,1110
267,796,47,1.331,1109
268,2304,46,1.339,1110
269,1536,47,1.339,1110
270,798,49,1.331,1113
271,935,49,1.331,1113
272,819,49,1.321,1113
273,2676,33,1.202,1026
274,2834,33,1.194,1025
275,683,37,1.194,1028
276,652,36,1.187,1026
277,1331,36,1.187,1026
278,713,35,1.171,1025
279,694,35,1.171,1025
280,697,34,1.171,1026
281,1253,34,1.171,1023
282,664,32,1.171,1023
283,2674,31,1.171,1025
284,902,38,1.192,1022
285,1423,38,1.192,1022
286,335,43,1.267,1026
287,1815,41,1.288,1026
288,3056,43,1.288,1028
289,956,42,1.35,1018
290,1227,43,1.35,1018
291,2430,43,1.35,1018
292,639,44,1.35,1018
293,2258,45,1.339,1018
294,2021,45,1.339,1018
295,759,43,1.339,1020
296,663,45,1.324,1031
297,1431,45,1.324,1031
298,695,42,1.438,1022
299,2499,37,1.438,1021
300,4372,36,1.438,1021
301,1917,36,1.438,1020
302,623,39,1.437,1023
303,891,39,1.437,1023
304,3718,36,1.433,1017
305,845,36,1.433,1017
306,230,30,1.433,1020
307,8186,31,1.433,1019
308,1264,32,1.433,1019
309,654,33,1.433,1015
310,711,34,1.416,1010
311,729,34,1.377,999
312,726,34,1.377,1005
313,1320,36,1.377,1004
314,614,36,1.377,1004
315,590,37,1.36,1004
316,573,36,1.343,1010
317,1664,36,1.343,1014
318,634,34,1.408,1015
319,4375,37,1.408,1015
320,1549,39,1.408,1015
321,815,39,1.388,1015
322,800,39,1.388,1015
323,730,38,1.373,1014
324,1321,42,1.373,1015
325,637,42,1.373,1014
326,636,57,1.355,1013
327,621,59,1.322,1014
328,632,49,1.322,1011
329,4567,49,1.322,1012
330,796,47,1.322,1012
331,1512,46,1.309,1012
332,1610,46,1.309,1012
333,866,45,1.309,1012
334,1642,45,1.309,1013
335,678,44,1.365,1012
336,651,46,1.349,1012
337,668,46,1.333,1013
338,726,54,1.32,1013
339,739,56,1.305,1012
340,763,56,1.292,1012
341,730,56,1.269,1011
342,677,56,1.269,1013
343,1374,56,1.269,1011
344,794,55,1.269,1011
345,754,52,1.258,1010
346,2060,52,1.258,1010
347,745,50,1.258,1010
348,1507,60,1.258,1009
349,666,58,1.258,1008
350,1256,61,1.258,1008
351,656,64,1.258,1009
352,690,64,1.248,1008
353,717,68,1.226,1008
354,716,63,1.298,1009
355,1910,61,1.298,1008
356,1268,61,1.308,1007
357,658,62,1.296,1008
358,617,62,1.296,1008
359,604,62,1.283,1008
360,1144,56,1.283,1009
361,2378,55,1.283,1007
362,1159,57,1.283,1008
363,576,58,1.283,1010
364,586,57,1.269,1007
365,1082,61,1.269,1008
366,535,62,1.269,1009
367,533,65,1.256,1008
368,537,59,1.244,1008
369,2586,61,1.244,1008
370,7323,27,1.225,1013
371,676,27,1.225,1012
372,608,29,1.22,1019
373,1977,32,1.22,1016
374,532,31,1.345,1010
375,2383,28,1.345,1025
376,4190,28,1.345,1006
377,576,26,1.345,1039
378,4904,23,1.345,1001
379,5449,23,1.333,1002
380,621,24,1.333,1003
381,3061,23,1.333,1003
382,3413,23,1.322,998
383,768,24,1.322,1012
384,4143,24,1.45,1006
385,1095,24,1.45,1006
386,1386,25,1.45,1004
387,610,25,1.45,1004
388,693,25,1.45,1000
389,2787,26,1.45,1007
390,4881,26,1.45,1007
391,638,25,1.552,1011
392,2225,26,1.607,1011
393,840,25,1.607,1012
394,1500,27,1.607,1009
395,662,29,1.577,1016
396,665,28,1.577,1010
397,2098,30,1.575,1011
398,1351,33,1.575,1013
399,924,35,1.575,1011
400,2801,35,1.575,1011
401,282,29,1.575,1015
402,11009,29,1.575,1015
403,673,28,1.673,1015
404,2374,30,1.722,1015
405,769,30,1.694,1016
406,896,30,1.694,1016
407,696,30,1.665,1017
408,1531,30,1.665,1017
409,2759,33,1.665,1017
410,952,33,1.64,1016
411,816,34,1.64,1016
412,787,32,1.61,1016
413,3637,29,1.61,1017
414,4409,28,1.59,1016
415,2174,28,1.59,1016
416,1532,28,1.581,1017
417,1728,28,1.558,1017
418,942,29,1.558,1016
419,1832,28,1.558,1017
420,2568,27,1.551,1017
421,1555,34,1.558,1025
422,2485,32,1.539,1034
423,2108,29,1.539,1038
424,6940,27,1.539,1038
425,3606,26,1.539,1039
426,2678,26,1.529,1040
427,1003,20,1.586,1041
428,13233,19,1.624,1040
429,5653,18,1.624,1041
